,daysBetweenDates,isBasicEconomy,1depTimeOnly,numberOfStopovers,waitingTime,numericalStartingAirport,numericalDestinationAirport,numerical1cabin,totalFare
132,29,0,11,1,2.0,13,8,1,630.6
133,48,0,11,1,7.0,13,11,1,367.2
134,19,0,8,1,7.0,3,14,1,672.2
135,19,0,12,1,2.0,2,15,1,297.1
136,14,0,12,1,4.0,13,11,1,114.58
137,44,0,19,0,0.0,10,1,1,83.6
138,36,0,6,1,1.0,9,10,1,232.6
139,19,0,8,1,3.0,1,3,1,202.61
140,34,0,8,1,1.0,7,12,1,603.6
141,43,0,15,0,0.0,4,10,1,191.6
142,17,0,22,0,0.0,9,2,1,555.61
143,18,0,8,1,4.0,12,6,1,581.6
144,8,0,19,1,1.0,12,1,1,629.6
145,37,0,18,2,5.0,12,1,1,537.1
146,3,0,15,1,2.0,4,15,1,277.6
147,45,1,13,1,6.0,7,14,1,187.2
148,46,0,8,2,8.0,0,10,1,462.71
149,1,0,13,1,5.0,12,3,1,570.21
150,47,0,13,1,1.0,11,10,1,501.6
151,49,0,19,0,0.0,14,0,1,554.61
152,37,1,12,0,0.0,11,8,1,118.6
153,33,0,12,1,1.0,15,7,1,537.6
154,24,0,6,1,1.0,9,6,1,528.6
155,10,0,10,2,6.0,11,12,1,570.1
156,13,0,11,1,1.0,2,8,1,180.1
157,1,0,6,1,4.0,3,10,1,252.6
158,35,1,6,1,5.0,14,10,1,197.2
159,42,0,19,0,0.0,2,1,1,182.1
160,29,0,12,1,2.0,1,13,1,112.6
161,4,0,7,1,3.0,13,2,1,200.6
162,18,0,7,2,7.0,10,12,1,559.1
163,38,0,12,1,2.0,2,4,1,311.1
164,32,0,22,0,0.0,0,9,1,378.6
165,29,0,9,2,6.0,3,1,1,451.1
166,19,1,15,0,0.0,10,4,1,102.6
167,41,0,12,1,5.0,2,6,1,210.71
168,28,0,19,1,1.0,11,3,1,167.6
169,25,0,13,1,1.0,9,5,1,661.6
170,31,0,7,1,1.0,14,15,1,252.6
171,28,0,7,1,1.0,13,7,1,223.1
172,30,0,10,1,1.0,15,3,1,268.6
173,17,0,16,1,1.0,11,6,1,235.58
174,11,1,8,1,1.0,13,1,1,117.6
175,5,0,19,1,2.0,1,13,1,122.1
176,14,1,13,0,0.0,1,6,1,78.6
177,4,1,19,0,0.0,4,6,1,138.6
178,37,0,8,1,5.0,6,11,1,308.19
179,30,1,12,1,2.0,10,2,1,167.6
180,25,0,16,0,0.0,4,5,1,278.6
181,50,0,8,2,6.0,9,14,1,534.69
182,32,0,6,1,1.0,13,0,1,246.6
183,18,0,6,1,4.0,0,5,1,258.6
184,20,0,19,1,2.0,1,0,1,163.61
185,16,0,14,0,0.0,3,10,1,668.22
186,23,0,7,0,0.0,6,4,1,196.6
187,10,0,6,1,7.0,4,0,1,89.59
188,43,0,9,1,6.0,3,11,1,323.2
189,8,0,10,1,7.0,14,10,1,207.2
190,12,0,7,0,0.0,9,5,1,498.6
